REPORTER_DEA_NO	REPORTER_BUS_ACT	REPORTER_NAME	REPORTER_ADDL_CO_INFO	REPORTER_ADDRESS1	REPORTER_ADDRESS2	REPORTER_CITY	REPORTER_STATE	REPORTER_ZIP	REPORTER_COUNTY	BUYER_DEA_NO	BUYER_BUS_ACT	BUYER_NAME	BUYER_ADDL_CO_INFO	BUYER_ADDRESS1	BUYER_ADDRESS2	BUYER_CITY	BUYER_STATE	BUYER_ZIP	BUYER_COUNTY	TRANSACTION_CODE	DRUG_CODE	NDC_NO	DRUG_NAME	QUANTITY	UNIT	ACTION_INDICATOR	ORDER_FORM_NO	CORRECTION_NO	STRENGTH	TRANSACTION_DATE	CALC_BASE_WT_IN_GM	DOSAGE_UNIT	TRANSACTION_ID	Product_Name	Ingredient_Name	Measure	MME_Conversion_Factor	Combined_Labeler_Name	Revised_Company_Name	Reporter_family	dos_str
PA0006836	DISTRIBUTOR	ACE SURGICAL SUPPLY CO INC	null	1034 PEARL STREET	null	BROCKTON	MA	2301	PLYMOUTH	BT3484653	PRACTITIONER	TABRIZI, HAMID R DMD	null	389 MAIN STREET, SUITE 404	null	MALDEN	MA	2148	MIDDLESEX	S	9193	406036301	HYDROCODONE	1	null	null	null	null	null	12262012	0.6054	100	64	HYDROCODONE BIT/ACETA 10MG/500MG USP	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	SpecGx LLC	Mallinckrodt	ACE Surgical Supply Co Inc	10
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BA9740019	RETAIL PHARMACY	APOTHECARY SHOP DEER VALLEY	null	23620 N 20TH DR	#12	PHOENIX	AZ	85085	MARICOPA	S	9193	12634051400	HYDROCODONE	4	null	null	null	null	null	3112009	0.12108	40	52	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	40	null	null	null	null	null	11252008	3.6324	1200	119	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634078371	HYDROCODONE	20	null	null	null	null	null	6122009	2.7243	600	34	HYDROCODONEBITARTRATE & ACETA  7.5MG	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	7.5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	10	null	null	null	null	null	10022009	0.9081	300	19	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BH5651155	PRACTITIONER	HOBBS, DOUGLAS DON,  MD	null	URGENT CARE EXTRA COOPER	641 WEST WARNER	GILBERT	AZ	85233	MARICOPA	S	9193	12634051471	HYDROCODONE	20	null	null	null	null	null	3232010	1.8162	600	73	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	5	null	null	null	null	null	10112007	0.227025	75	58	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10	null	null	null	null	null	1112008	0.45405	150	79	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10	null	null	null	null	null	7142008	0.45405	150	65	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
PA0021179	DISTRIBUTOR	APOTHECA INC	null	1622 N 16TH ST	null	PHOENIX	AZ	85006	MARICOPA	BJ5858002	PRACTITIONER	JEFFERS, WILL VAHID DO	NOW CARE	8251 W UNION HILLS DR	SUITE 140	GLENDALE	AZ	85308	MARICOPA	S	9193	12634051485	HYDROCODONE	10	null	null	null	null	null	12052012	0.45405	150	5	HYDROCODONE BITARTRATE & ACETA  5MG/	HYDROCODONE BITARTRATE HEMIPENTAHYDRATE	TAB	1	Apotheca Inc.	Apotheca Inc.	Apotheca Inc	5
